country,year,life_expectancy,maternal_mortality_ratio,uhc_index,doctors_per_10000,pharmacists_per_10000,basic_water_access_pct,ncd_mortality_30_70
Libya,2010,76.04,53.0,,,,93.19,20.7
Libya,2000,74.4,70.0,,,,84.3,22.7
Lithuania,2019,75.99,,,,,,
Lithuania,2015,74.38,9.0,70.0,42.99,,90.72,22.2
Lithuania,2010,73.14,10.0,,34.14,,85.61,23.6
Lithuania,2000,72.04,17.0,,32.95,59.3,75.4,24.2
Luxembourg,2019,82.41,,,,,,
Luxembourg,2015,82.31,5.0,82.0,29.22,70.1,100.0,9.6
Luxembourg,2010,80.94,8.0,,27.68,73.60000000000001,100.0,11.5
Luxembourg,2000,78.24,10.0,,,64.2,100.0,15.0
Madagascar,2019,65.35,,,,,,
Madagascar,2015,64.19,363.0,24.0,,,34.78,23.1
Madagascar,2010,62.79,453.0,,1.95,0.03,30.98,24.5
Madagascar,2000,58.82,559.0,,,,23.79,27.2
Malawi,2019,65.62,,,,,,
Malawi,2015,63.04,370.0,43.0,,,63.31,16.3
Malawi,2010,56.8,444.0,,,,58.01,17.5
Malawi,2000,44.73,749.0,,,,47.29,21.0
Malaysia,2019,74.72,,,,,,
Malaysia,2015,74.95,30.0,71.0,15.36,34.7,89.93,17.3
Malaysia,2010,74.25,30.0,,11.69,27.5,91.42,18.2
Malaysia,2000,72.8,38.0,,6.96,10.1,94.11,20.3
Maldives,2019,79.59,,,,,,
Maldives,2015,78.41,54.0,59.0,28.86,43.8,98.25,13.9
Maldives,2010,76.99,67.0,,14.36,67.5,96.55,16.7
Maldives,2000,70.96,125.0,,,,90.41,26.8
Mali,2019,62.8,,,,,,
Mali,2015,60.89,620.0,35.0,,,64.59,24.8
Mali,2010,59.05,660.0,,1.02,0.8999999999999999,55.37,25.0
Mali,2000,52.64,836.0,,,,37.85,27.5
Malta,2019,81.89,,,,,,
Malta,2015,81.65,7.0,81.0,28.6,128.7,100.0,10.8
Malta,2010,80.45,8.0,,21.53,72.69999999999999,100.0,11.2
Malta,2000,77.87,9.0,,26.02,,100.0,15.5
Mauritania,2019,68.38,,,,,,
Mauritania,2015,67.41,785.0,36.0,1.71,,46.69,18.0
Mauritania,2010,65.59,824.0,,1.57,,38.96,17.9
Mauritania,2000,61.96,834.0,,,,25.02,18.1
Mauritius,2019,74.07,,,,,,
Mauritius,2015,74.14,73.0,62.0,20.25,39.5,99.83,22.8
Mauritius,2010,73.24,66.0,,12.02,32.1,99.62,24.1
Mauritius,2000,71.17,59.0,,,,98.93,29.7
Mexico,2019,76.01,,,,,,
Mexico,2015,75.87,36.0,76.0,23.25,,94.26,15.9
Mexico,2010,75.13,46.0,,22.36,4.9,88.38,16.3
Mexico,2000,74.41,55.0,,19.81,,73.13,16.8
Micronesia (Federated States of),2019,63.03,,,,,,
Micronesia (Federated States of),2015,62.74,95.0,44.0,,,78.57,26.5
Micronesia (Federated States of),2010,62.67,110.0,,,,81.6,26.4
Micronesia (Federated States of),2000,61.19,154.0,,5.96,,87.67,27.4
Mongolia,2019,68.1,,,,,,
Mongolia,2015,67.61,47.0,62.0,32.19,50.199999999999996,52.86,30.4
Mongolia,2010,65.05,66.0,,27.56,43.2,44.13,32.3
Mongolia,2000,60.52,155.0,,,,28.82,38.9
Montenegro,2019,75.88,,,,,,
Montenegro,2015,75.27,6.0,67.0,23.76,,95.91,20.9
Montenegro,2010,74.69,7.0,,20.44,,95.05,22.1
Montenegro,2000,73.56,12.0,,18.84,,,25.7
Morocco,2019,72.99,,,,,,
Morocco,2015,72.46,74.0,69.0,,,67.69,12.5
Morocco,2010,71.6,92.0,,,,53.25,13.8
Morocco,2000,69.35,188.0,,,,28.34,24.4
Mozambique,2019,58.14,,,,,,
Mozambique,2015,55.95,318.0,43.0,0.41,0.72,35.54,18.4
Mozambique,2010,53.48,412.0,,0.49,0.2,24.72,20.3
Mozambique,2000,50.69,798.0,,,,19.9,27.3
Myanmar,2019,69.13,,,,,,
Myanmar,2015,67.58,246.0,59.0,,,74.82,24.3
Myanmar,2010,64.79,265.0,,5.22,,61.97,25.1
Myanmar,2000,59.99,340.0,,,,38.06,25.0
Namibia,2019,64.58,,,,,,
Namibia,2015,62.87,217.0,61.0,,,68.89,21.6
Namibia,2010,60.94,266.0,,,,68.09,23.2
Namibia,2000,53.32,348.0,,,,66.47,25.6
Nepal,2019,70.88,,,,,,
Nepal,2015,69.43,236.0,51.0,,,87.48,22.2
Nepal,2010,69.18,305.0,,,,84.34,23.8
Nepal,2000,65.26,553.0,,,,77.98,27.3
Netherlands,2019,81.79,,,,,,
Netherlands,2015,81.28,6.0,85.0,34.92,21.299999999999997,100.0,11.3
Netherlands,2010,80.68,7.0,,29.52,19.8,100.0,12.5
Netherlands,2000,78.01,13.0,,24.43,15.5,100.0,16.2
New Zealand,2019,81.96,,,,,,
New Zealand,2015,81.31,10.0,85.0,32.96,66.6,100.0,10.4
New Zealand,2010,80.94,11.0,,30.66,62.9,100.0,11.8
New Zealand,2000,78.57,12.0,,,,100.0,15.9
